Fetching product list...
Got 318 products (API count: 318 )
DB ready. brandId: 18404fc5 catId: 9ee350a7 lineId: 3567ae4e
[1/318] OK: INSN 40100 | desc:2692 spec:1622 main:1 pdf:1
[2/318] OK: CST 1075 | desc:2839 spec:3292 main:1 pdf:1
[3/318] OK: CST 10150 | desc:2816 spec:3320 main:1 pdf:1
[4/318] OK: CST 1075E | desc:3175 spec:3326 main:1 pdf:1
[5/318] OK: CST 20150E | desc:4418 spec:3086 main:1 pdf:1
[6/318] OK: EFT 800系列 | desc:3526 spec:12682 main:1 pdf:1
[7/318] OK: EFT 700系列 | desc:3644 spec:12670 main:1 pdf:1
[8/318] OK: EFT 600系列 | desc:3923 spec:12666 main:1 pdf:1
[9/318] OK: EFT 500系列 | desc:4019 spec:12690 main:1 pdf:1
[10/318] OK: INS 800 | desc:3360 spec:6285 main:1 pdf:1
  WARN img fail: /upload/png/202512/%E5%85%B8%E5%9E%8B%E6%A0%A1%E5%87%86%E8%BF%9E%E6%8E%A5%E7%A4%BA%E6%84%8F%E5%9B%BE.png - HTTP 404 for https://www.3ctest.cn/upload/png/202512/%25E5%2585%25B8%25E5%259E%258B%25E6%25A0%25A1%25E5%2587%2586%25E8%25BF%259E%25E6%258E%25A5%25E7%25A4%25BA%25E6%2584%258F%25E5%259B%25BE.png
  WARN img fail: /upload/png/202512/%E5%85%B8%E5%9E%8B%E6%B5%8B%E8%AF%95%E8%BF%9E%E6%8E%A5%E7%A4%BA%E6%84%8F%E5%9B%BE%EF%BC%88%E5%B7%AE%E6%A8%A1L1-L2%EF%BC%89.png - HTTP 404 for https://www.3ctest.cn/upload/png/202512/%25E5%2585%25B8%25E5%259E%258B%25E6%25B5%258B%25E8%25AF%2595%25E8%25BF%259E%25E6%258E%25A5%25E7%25A4%25BA%25E6%2584%258F%25E5%259B%25BE%25EF%25BC%2588%25E5%25B7%25AE%25E6%25A8%25A1L1-L2%25EF%25BC%2589.png
[11/318] OK: INS 400 | desc:3462 spec:6245 main:1 pdf:1
[12/318] OK: EFT 200TC | desc:3572 spec:3653 main:1 pdf:1
[13/318] OK: EFTN 150125T | desc:2448 spec:2478 main:1 pdf:1
[14/318] OK: EFTN 38200TM | desc:3185 spec:1363 main:1 pdf:1
[15/318] OK: EFTN 69100TM | desc:3183 spec:1505 main:1 pdf:1
[16/318] OK: EFTN 11080D | desc:2960 spec:1398 main:1 pdf:1
[17/318] OK: EFTN 48100TM | desc:2993 spec:1392 main:1 pdf:1
[18/318] OK: EFTN 70400T | desc:3045 spec:1530 main:1 pdf:1
[19/318] OK: EFTN 70300T | desc:2994 spec:1011 main:1 pdf:1
[20/318] OK: EFTN 15100T | desc:2986 spec:1117 main:1 pdf:1
[21/318] OK: CWS 600(S-480-32-T) | desc:3135 spec:3760 main:1 pdf:1
[22/318] OK: CWS 3G | desc:3023 spec:2224 main:1 pdf:1
[23/318] OK: CWS 20G | desc:3663 spec:19303 main:1 pdf:1
[24/318] OK: CWS 120 | desc:3311 spec:2362 main:1 pdf:1
[25/318] OK: CWS 120G | desc:3413 spec:2078 main:1 pdf:1
[26/318] OK: CWS 120CT | desc:4250 spec:13362 main:1 pdf:1
[27/318] OK: CWS 600 系列 | desc:3472 spec:5483 main:1 pdf:1
[28/318] OK: CWS 1000N | desc:3062 spec:3243 main:1 pdf:1
[29/318] OK: CWS 800CT | desc:3966 spec:18217 main:1 pdf:1
[30/318] OK: CWS 1000CT | desc:2707 spec:18199 main:1 pdf:1
[31/318] OK: CWS 2000(JEC210) | desc:2105 spec:15056 main:1 pdf:1
[32/318] OK: CWS 1089B | desc:1362 spec:8831 main:1 pdf:1
[33/318] OK: CWS 2000MS | desc:3804 spec:31220 main:1 pdf:1
[34/318] OK: CWS 2000T | desc:3375 spec:10866 main:1 pdf:1
[35/318] OK: CWS 1500MS | desc:3804 spec:31219 main:1 pdf:1
[36/318] OK: CDN 405M3-16 | desc:2709 spec:1328 main:1 pdf:1
[37/318] OK: SPN 38200TM | desc:2936 spec:5887 main:1 pdf:1
[38/318] OK: SPN 3832TM | desc:3152 spec:6924 main:1 pdf:1
[39/318] OK: SPN 3850T15 | desc:3205 spec:2808 main:1 pdf:1
[40/318] OK: SPN 4516S15 | desc:2919 spec:2258 main:1 pdf:1
[41/318] OK: SPN 6932T10 | desc:2656 spec:8302 main:1 pdf:1
[42/318] OK: SPN 38100T20A&20B | desc:2903 spec:9889 main:1 pdf:1
[43/318] OK: SPN 100400T10 | desc:2759 spec:9780 main:1 pdf:1
[44/318] OK: HFRR系列 | desc:1434 spec:12092 main:1 pdf:1
[45/318] OK: CDN 405CANR | desc:2508 spec:1624 main:1 pdf:1
[46/318] OK: CDN 405M40 | desc:3152 spec:1420 main:1 pdf:1
[47/318] OK: CDN 405CAN | desc:3896 spec:1573 main:1 pdf:1
[48/318] OK: CN 405AF4 | desc:4966 spec:7841 main:1 pdf:1
[49/318] OK: CDN 21AF8 | desc:2586 spec:8469 main:1 pdf:1
[50/318] OK: CDN 405M40-32 | desc:2717 spec:6687 main:1 pdf:1
[51/318] OK: CDN 405AF8(2A) | desc:2704 spec:7076 main:1 pdf:1
[52/318] OK: CDN 405T4 | desc:3554 spec:1779 main:1 pdf:1
[53/318] OK: CDN 405AF4 (仅包含1.2/50、8/20波形) | desc:3948 spec:7095 main:1 pdf:1
[54/318] OK: CDN 405T8(POE 10KV) | desc:3513 spec:1607 main:1 pdf:1
[55/318] OK: CDN 405T8(POE) | desc:3414 spec:1572 main:1 pdf:1
[56/318] OK: CDN 405T8-C | desc:3881 spec:1678 main:1 pdf:1
[57/318] OK: CDN 405S1 | desc:3284 spec:5467 main:1 pdf:1
[58/318] OK: CDN 405T8A1 | desc:3656 spec:1647 main:1 pdf:1
[59/318] OK: CDN 405S8 | desc:3721 spec:5275 main:1 pdf:1
[60/318] OK: CDN 405S9 | desc:3741 spec:5118 main:1 pdf:1
[61/318] OK: SPN 1020DC | desc:2593 spec:15986 main:1 pdf:1
[62/318] OK: CCS 500(BSTD) | desc:5619 spec:7266 main:1 pdf:1
[63/318] OK: CCS 600(BSTD) | desc:5804 spec:6986 main:1 pdf:1
[64/318] OK: CCS 800(BSTDR) | desc:5949 spec:8382 main:1 pdf:1
[65/318] OK: CCS 1000 | desc:5267 spec:6017 main:1 pdf:1
[66/318] OK: VVT 2210S | desc:2715 spec:10847 main:1 pdf:1
[67/318] OK: VMT 2216SV | desc:2725 spec:10694 main:1 pdf:1
[68/318] OK: MFT 1200 | desc:2651 spec:2178 main:1 pdf:1
[69/318] OK: PFS 3830TDC | desc:3239 spec:2929 main:1 pdf:1
[70/318] OK: PFS 2230D | desc:2303 spec:10205 main:1 pdf:1
[71/318] OK: PFS 10075D | desc:2825 spec:2494 main:1 pdf:1
[72/318] OK: PFS3875TDC | desc:3482 spec:4517 main:1 pdf:1
[73/318] OK: PFS 4510SV | desc:2649 spec:4855 main:1 pdf:1
